%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695950785267603397,87,12625000000000,GPS1_Frame,42.338991666666665,-71.08843666666667,29.9,327958.0606415875,4689527.479850283,19,T
1695950786288123130,88,12626000000000,GPS1_Frame,42.33899,-71.08844,29.8,327957.7814901875,4689527.301524114,19,T
1695950787288604681,89,12627000000000,GPS1_Frame,42.33899,-71.08844166666667,29.6,327957.6441872171,4689527.304896371,19,T
1695950788268371494,90,12628000000000,GPS1_Frame,42.33898666666666,-71.08844666666667,29.7,327957.22318734403,4689526.9448718075,19,T
1695950789267280720,91,12629000000000,GPS1_Frame,42.33898666666666,-71.08845,29.5,327956.9485813885,4689526.951616348,19,T
1695950790267659690,92,12630000000000,GPS1_Frame,42.338985,-71.08845166666667,29.3,327956.8067329193,4689526.769917945,19,T
1695950791268494828,93,12631000000000,GPS1_Frame,42.33898166666667,-71.088455,29.2,327956.5230359636,4689526.40652115,19,T
1695950792267392322,94,12632000000000,GPS1_Frame,42.33898,-71.08845666666667,28.8,327956.38118747296,4689526.224822755,19,T
1695950793264612787,95,12633000000000,GPS1_Frame,42.33898,-71.08846,28.8,327956.1065814883,4689526.231567327,19,T
1695950794265302273,96,12634000000000,GPS1_Frame,42.33898166666667,-71.08846166666666,28.6,327955.9738240044,4689526.420010293,19,T
1695950795265337194,97,12635000000000,GPS1_Frame,42.33898666666666,-71.08846166666666,28.6,327955.98746053746,4689526.975222321,19,T
1695950796267834040,98,12636000000000,GPS1_Frame,42.338991666666665,-71.08846166666666,28.6,327956.0010970718,4689527.5304343505,19,T
1695950797267647830,99,12637000000000,GPS1_Frame,42.338991666666665,-71.08846,28.4,327956.13840004086,4689527.52706206,19,T
1695950798267143475,100,12638000000000,GPS1_Frame,42.338993333333335,-71.08845666666667,28.1,327956.4175514756,4689527.705388164,19,T
1695950799267957134,101,12639000000000,GPS1_Frame,42.33898833333333,-71.08845833333334,28.3,327956.2666119972,4689527.1535484195,19,T
1695950800265214632,102,12640000000000,GPS1_Frame,42.33898833333333,-71.08845666666667,28.2,327956.4039149735,4689527.150176135,19,T
1695950801264807819,103,12641000000000,GPS1_Frame,42.33898333333333,-71.08845666666667,28.2,327956.39027847274,4689526.594964107,19,T
1695950802265246490,104,12642000000000,GPS1_Frame,42.33898333333333,-71.088455,28.2,327956.52758145996,4689526.591591825,19,T
1695950803267445548,105,12643000000000,GPS1_Frame,42.33898333333333,-71.08845666666667,28.5,327956.39027847274,4689526.594964107,19,T
1695950804265737569,106,12644000000000,GPS1_Frame,42.33898333333333,-71.088455,28.6,327956.52758145996,4689526.591591825,19,T
1695950805281201234,107,12645000000000,GPS1_Frame,42.33897666666667,-71.08846166666666,28.6,327955.96018747275,4689525.864798265,19,T
1695950806265090998,108,12646000000000,GPS1_Frame,42.338975,-71.08846333333334,28.7,327955.8183389571,4689525.683099882,19,T
1695950807265194897,109,12647000000000,GPS1_Frame,42.33897666666667,-71.08846,28.9,327956.09749047447,4689525.861425974,19,T
1695950808265796689,110,12648000000000,GPS1_Frame,42.338975,-71.08846,29.2,327956.09294496785,4689525.6763553,19,T
1695950809265293719,111,12649000000000,GPS1_Frame,42.338975,-71.08845833333334,29.3,327956.23024796904,4689525.672983012,19,T
1695950810285277643,112,12650000000000,GPS1_Frame,42.338975,-71.08845666666667,29.4,327956.36755097436,4689525.669610728,19,T
1695950811268727535,113,12651000000000,GPS1_Frame,42.338973333333335,-71.08845666666667,29.5,327956.36300547514,4689525.484540053,19,T
1695950812268407401,114,12652000000000,GPS1_Frame,42.338973333333335,-71.08845166666667,29.6,327956.77491449786,4689525.474423216,19,T
1695950813266707499,115,12653000000000,GPS1_Frame,42.33897,-71.08845333333333,29.7,327956.6285205075,4689525.10765414,19,T
1695950814267553359,116,12654000000000,GPS1_Frame,42.33897,-71.08845166666667,29.5,327956.76582352165,4689525.104281864,19,T
1695950815268843820,117,12655000000000,GPS1_Frame,42.33897,-71.08845166666667,29.5,327956.76582352165,4689525.104281864,19,T
