%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1695953160358024393,24,20600000000000,GPS1_Frame,42.338588333333334,-71.09311333333333,19.4,327571.68599832174,4689492.1658772435,19,T
1695953161356290793,25,20601000000000,GPS1_Frame,42.33858166666667,-71.09313333333333,19.1,327570.02012908575,4689491.46615224,19,T
1695953162377119829,26,20602000000000,GPS1_Frame,42.338575,-71.09315,18.9,327568.62886733026,4689490.759667887,19,T
1695953163358089020,27,20603000000000,GPS1_Frame,42.338568333333335,-71.09316833333334,18.7,327567.10030135524,4689490.056563697,19,T
1695953164357339776,28,20604000000000,GPS1_Frame,42.33856166666666,-71.093185,18.5,327565.7090390061,4689489.350079905,19,T
1695953165354189757,29,20605000000000,GPS1_Frame,42.33855333333333,-71.0932,18.4,327564.45052453026,4689488.455145722,19,T
1695953166354686020,30,20606000000000,GPS1_Frame,42.338546666666666,-71.09321666666666,18.3,327563.05926158105,4689487.748662445,19,T
1695953167384821987,31,20607000000000,GPS1_Frame,42.33853833333333,-71.09324166666667,17.9,327560.9769224982,4689486.874008748,19,T
1695953168362141215,32,20608000000000,GPS1_Frame,42.33853166666667,-71.09326333333334,17.7,327559.17374683276,4689486.177666273,19,T
1695953169361085598,33,20609000000000,GPS1_Frame,42.338523333333335,-71.09328166666667,17.4,327557.6406228667,4689485.2894933745,19,T
1695953170382503294,34,20610000000000,GPS1_Frame,42.33851833333333,-71.0933,17.3,327556.1166105255,4689484.771462235,19,T
1695953171382049758,35,20611000000000,GPS1_Frame,42.33851,-71.09331666666667,17.2,327554.72078989935,4689483.879909852,19,T
1695953172361210254,36,20612000000000,GPS1_Frame,42.338503333333335,-71.09333166666667,17.0,327553.46682906384,4689483.170048296,19,T
1695953173361799811,37,20613000000000,GPS1_Frame,42.33849333333333,-71.09334166666666,16.9,327552.61566803115,4689482.079904991,19,T
1695953174358232069,38,20614000000000,GPS1_Frame,42.338483333333336,-71.09335166666666,16.6,327551.7645067418,4689480.989761785,19,T
1695953175359268936,39,20615000000000,GPS1_Frame,42.338475,-71.093365,16.3,327550.64329306746,4689480.0914498065,19,T
1695953176359227234,40,20616000000000,GPS1_Frame,42.33846833333333,-71.09338,16.1,327549.3893311373,4689479.38158895,19,T
1695953177379048958,41,20617000000000,GPS1_Frame,42.33846,-71.093395,15.9,327548.1308127317,4689478.486657598,19,T
1695953178375422860,42,20618000000000,GPS1_Frame,42.33844666666667,-71.09340833333333,15.7,327546.99592946423,4689477.033134032,19,T
1695953179381840246,43,20619000000000,GPS1_Frame,42.338438333333336,-71.093425,15.6,327545.60010611906,4689476.141583396,19,T
1695953180360566220,44,20620000000000,GPS1_Frame,42.338431666666665,-71.09344,15.5,327544.3461429535,4689475.431723411,19,T
1695953181381189568,45,20621000000000,GPS1_Frame,42.33842333333333,-71.09345666666667,15.5,327542.95031894057,4689474.540173286,19,T
1695953182358750428,46,20622000000000,GPS1_Frame,42.33841666666667,-71.09347166666667,15.5,327541.6963552078,4689473.830313762,19,T
1695953183359151184,47,20623000000000,GPS1_Frame,42.33841,-71.09348666666666,15.4,327540.442391217,4689473.120454455,19,T
1695953184381307806,48,20624000000000,GPS1_Frame,42.338405,-71.09350333333333,15.4,327539.0556791178,4689472.599046513,19,T
1695953185359326651,49,20625000000000,GPS1_Frame,42.33839833333333,-71.09352,15.5,327537.6644103206,4689471.892568124,19,T
1695953186356904072,50,20626000000000,GPS1_Frame,42.338391666666666,-71.093535,15.7,327536.41044554976,4689471.182709517,19,T
1695953187360144659,51,20627000000000,GPS1_Frame,42.33838333333333,-71.09354833333333,15.7,327535.2892283109,4689470.284399907,19,T
1695953188359921770,52,20628000000000,GPS1_Frame,42.338375,-71.09356166666667,15.8,327534.1680107822,4689469.386090465,19,T
1695953189379986298,53,20629000000000,GPS1_Frame,42.338368333333335,-71.093575,15.7,327533.05134956515,4689468.672851915,19,T
1695953190359891521,54,20630000000000,GPS1_Frame,42.33836,-71.09358666666667,15.7,327532.0674358789,4689467.771162247,19,T
1695953191360122426,55,20631000000000,GPS1_Frame,42.33835333333333,-71.0936,15.7,327530.9507741841,4689467.057924019,19,T
1695953192360274949,56,20632000000000,GPS1_Frame,42.338348333333336,-71.093615,15.5,327529.7013645283,4689466.533137291,19,T
1695953193378579356,57,20633000000000,GPS1_Frame,42.33834,-71.09363166666667,14.9,327528.3055368157,4689465.641589985,19,T
1695953194357164608,58,20634000000000,GPS1_Frame,42.33833166666667,-71.09364833333333,14.3,327526.9097087402,4689464.75004295,19,T
1695953195379396225,59,20635000000000,GPS1_Frame,42.338323333333335,-71.09366833333333,13.8,327525.239271372,4689463.86525758,19,T
1695953196381152020,60,20636000000000,GPS1_Frame,42.33831833333333,-71.09368833333333,13.5,327523.57794725115,4689463.350614023,19,T
1695953197359701182,61,20637000000000,GPS1_Frame,42.33831333333333,-71.093705,13.2,327522.19123184436,4689462.829209333,19,T
1695953198357172226,62,20638000000000,GPS1_Frame,42.33830666666667,-71.09372,13.2,327520.9372638087,4689462.119353412,19,T
1695953199357522647,63,20639000000000,GPS1_Frame,42.3383,-71.093735,13.3,327519.68329551705,4689461.409497707,19,T
1695953200357870007,64,20640000000000,GPS1_Frame,42.33829333333333,-71.09375166666666,13.1,327518.29202243104,4689460.703023053,19,T
1695953201376474114,65,20641000000000,GPS1_Frame,42.33828666666667,-71.09376833333333,13.0,327516.90074905567,4689459.9965486685,19,T
1695953202378158541,66,20642000000000,GPS1_Frame,42.33828166666667,-71.093785,13.7,327515.5140324378,4689459.475145267,19,T
1695953203378076180,67,20643000000000,GPS1_Frame,42.338275,-71.09380166666666,13.8,327514.122758519,4689458.768671419,19,T
1695953204360899224,68,20644000000000,GPS1_Frame,42.33826833333333,-71.09382166666667,13.8,327512.4568751324,4689458.068959729,19,T
1695953205377902045,69,20645000000000,GPS1_Frame,42.33826166666667,-71.09384,13.6,327510.92829600564,4689457.365867448,19,T
1695953206378060354,70,20646000000000,GPS1_Frame,42.338255,-71.09386,13.6,327509.26241193735,4689456.666156497,19,T
1695953207379351242,71,20647000000000,GPS1_Frame,42.33824833333333,-71.093875,13.5,327508.00844142033,4689455.956302824,19,T
1695953208360934862,72,20648000000000,GPS1_Frame,42.33824166666667,-71.093895,13.5,327506.34255670174,4689455.256592553,19,T
1695953209379602779,73,20649000000000,GPS1_Frame,42.338233333333335,-71.09391333333333,13.6,327504.80941897485,4689454.368430856,19,T
1695953210359865496,74,20650000000000,GPS1_Frame,42.338226666666664,-71.09393,13.6,327503.418142891,4689453.661959076,19,T
1695953211359594351,75,20651000000000,GPS1_Frame,42.33821833333333,-71.09394666666667,13.7,327502.02230912383,4689452.770416849,19,T
1695953212360615684,76,20652000000000,GPS1_Frame,42.33821,-71.09396333333333,13.6,327500.62647499365,4689451.878874892,19,T
1695953213380699332,77,20653000000000,GPS1_Frame,42.33820333333333,-71.09398,13.6,327499.23519796995,4689451.1724039195,19,T
1695953214360715942,78,20654000000000,GPS1_Frame,42.338195,-71.09399666666667,13.6,327497.8393631558,4689450.2808625,19,T
1695953215358999201,79,20655000000000,GPS1_Frame,42.338188333333335,-71.09401166666666,13.5,327496.5853902801,4689449.571010811,19,T
1695953216360103417,80,20656000000000,GPS1_Frame,42.338181666666664,-71.09402833333333,13.5,327495.19411236676,4689448.864540614,19,T
1695953217379878260,81,20657000000000,GPS1_Frame,42.338175,-71.094045,13.4,327493.80283416377,4689448.158070689,19,T
1695953218363343376,82,20658000000000,GPS1_Frame,42.338168333333336,-71.09406333333334,13.5,327492.27425086236,4689447.454982369,19,T
1695953219361880626,83,20659000000000,GPS1_Frame,42.338161666666664,-71.09408166666667,13.5,327490.7456672442,4689446.751894372,19,T
1695953220383166101,84,20700000000000,GPS1_Frame,42.338155,-71.0941,13.6,327489.2170833071,4689446.048806701,19,T
1695953221382777423,85,20701000000000,GPS1_Frame,42.338148333333336,-71.09411666666666,13.8,327487.8258039021,4689445.342337931,19,T
1695953222363634454,86,20702000000000,GPS1_Frame,42.338141666666665,-71.09413333333333,13.7,327486.4345242076,4689444.6358694285,19,T
1695953223363025838,87,20703000000000,GPS1_Frame,42.33813333333333,-71.09415,13.4,327485.03868639417,4689443.744330481,19,T
1695953224363491588,88,20704000000000,GPS1_Frame,42.338125,-71.09416333333333,13.0,327483.91745802417,4689442.8460288,19,T
1695953225363690521,89,20705000000000,GPS1_Frame,42.338118333333334,-71.09417833333333,12.7,327482.66348233784,4689442.136179528,19,T
1695953226367451047,90,20706000000000,GPS1_Frame,42.33811166666667,-71.09419333333334,12.6,327481.40950638923,4689441.426330474,19,T
1695953227368797171,91,20707000000000,GPS1_Frame,42.338103333333336,-71.09421,12.7,327480.01366727473,4689440.534792492,19,T
1695953228388036448,92,20708000000000,GPS1_Frame,42.338096666666665,-71.09422666666667,12.7,327478.62238579453,4689439.828325496,19,T
1695953229385129419,93,20709000000000,GPS1_Frame,42.33808833333333,-71.09424166666666,12.7,327477.3638509808,4689438.933406426,19,T
1695953230384176485,94,20710000000000,GPS1_Frame,42.33808,-71.09425833333333,12.8,327475.96801083983,4689438.041869225,19,T
1695953231364744982,95,20711000000000,GPS1_Frame,42.338073333333334,-71.09427333333333,12.8,327474.714033452,4689437.3320213305,19,T
1695953232386005981,96,20712000000000,GPS1_Frame,42.338065,-71.09428833333334,12.9,327473.455497675,4689436.43710294,19,T
1695953233364617492,97,20713000000000,GPS1_Frame,42.338058333333336,-71.094305,13.1,327472.06421468407,4689435.730637207,19,T
1695953234364408390,98,20714000000000,GPS1_Frame,42.338051666666665,-71.09432166666667,13.2,327470.6729314036,4689435.02417174,19,T
1695953235383741317,99,20715000000000,GPS1_Frame,42.33804333333333,-71.09433833333334,13.3,327469.27708960185,4689434.132635827,19,T
1695953236364626828,100,20716000000000,GPS1_Frame,42.33803666666667,-71.09435666666667,13.5,327467.74850061047,4689433.429552705,19,T
1695953237364270944,101,20717000000000,GPS1_Frame,42.338028333333334,-71.09437333333334,13.6,327466.35265810427,4689432.53801736,19,T
1695953238364471288,102,20718000000000,GPS1_Frame,42.33802166666667,-71.09439166666667,13.8,327464.8240684505,4689431.8349348605,19,T
1695953239383047860,103,20719000000000,GPS1_Frame,42.338015,-71.09440833333333,13.9,327463.4327836216,4689431.128470791,19,T
1695953240365048980,104,20720000000000,GPS1_Frame,42.338008333333335,-71.094425,14.1,327462.04149850336,4689430.422006991,19,T
1695953241363706300,105,20721000000000,GPS1_Frame,42.33800333333333,-71.09443833333333,14.2,327460.9293818878,4689429.893850288,19,T
1695953242364816992,106,20722000000000,GPS1_Frame,42.33799833333333,-71.09445,14.2,327459.95457028085,4689429.362311794,19,T
1695953243364728248,107,20723000000000,GPS1_Frame,42.33799333333333,-71.094465,14.3,327458.70514813915,4689428.837537396,19,T
1695953244386232830,108,20724000000000,GPS1_Frame,42.337986666666666,-71.09448166666667,14.5,327457.3138620579,4689428.13107451,19,T
1695953245384649914,109,20725000000000,GPS1_Frame,42.33797833333333,-71.09449833333333,14.6,327455.9180171124,4689427.239541178,19,T
1695953246385061389,110,20726000000000,GPS1_Frame,42.33797333333333,-71.09451833333334,14.6,327454.2566785518,4689426.724913677,19,T
1695953247365966656,111,20727000000000,GPS1_Frame,42.33796666666667,-71.094535,14.7,327452.86539157253,4689426.018451651,19,T
1695953248365100674,112,20728000000000,GPS1_Frame,42.33796,-71.09455166666666,14.7,327451.47410430387,4689425.311989892,19,T
1695953249364212150,113,20729000000000,GPS1_Frame,42.33795333333333,-71.09456833333333,14.8,327450.0828167457,4689424.605528403,19,T
1695953250366057227,114,20730000000000,GPS1_Frame,42.33794666666667,-71.094585,14.8,327448.69152889797,4689423.899067183,19,T
1695953251364986701,115,20731000000000,GPS1_Frame,42.33794,-71.09460166666666,14.9,327447.3002407608,4689423.192606231,19,T
1695953252384677668,116,20732000000000,GPS1_Frame,42.33793333333333,-71.09461833333333,14.9,327445.908952334,4689422.486145547,19,T
1695953253382401164,117,20733000000000,GPS1_Frame,42.337925,-71.09463666666667,14.9,327444.3757994062,4689421.597996676,19,T
1695953254383652179,118,20734000000000,GPS1_Frame,42.337918333333334,-71.09465166666666,14.8,327443.1218157086,4689420.888154271,19,T
1695953255362658184,119,20735000000000,GPS1_Frame,42.33791166666666,-71.09466833333333,14.7,327441.7305263775,4689420.181694392,19,T
1695953256383462022,120,20736000000000,GPS1_Frame,42.337905,-71.094685,14.8,327440.3392367569,4689419.475234785,19,T
1695953257384210598,121,20737000000000,GPS1_Frame,42.337898333333335,-71.09470333333333,15.0,327438.8106414444,4689418.7721578125,19,T
1695953258384663359,122,20738000000000,GPS1_Frame,42.337891666666664,-71.09472166666667,15.1,327437.2820458129,4689418.069081164,19,T
1695953259385148909,123,20739000000000,GPS1_Frame,42.33788333333333,-71.09473833333334,15.3,327435.8861962054,4689417.177551699,19,T
1695953260364415403,124,20740000000000,GPS1_Frame,42.337875,-71.094755,15.6,327434.49034623697,4689416.286022504,19,T
1695953261364789747,125,20741000000000,GPS1_Frame,42.33786666666666,-71.094775,15.7,327432.81988496764,4689415.4012585385,19,T
1695953262364452645,126,20742000000000,GPS1_Frame,42.33785833333334,-71.09479,15.9,327431.56133972923,4689414.506347425,19,T
1695953263385744499,127,20743000000000,GPS1_Frame,42.337851666666666,-71.094805,16.0,327430.3073533981,4689413.796507245,19,T
1695953264361924441,128,20744000000000,GPS1_Frame,42.337846666666664,-71.09482166666666,16.0,327428.9206205567,4689413.2751205545,19,T
1695953265365305686,129,20745000000000,GPS1_Frame,42.33783833333333,-71.09483833333333,16.2,327427.5247688908,4689412.383592701,19,T
1695953266362210432,130,20746000000000,GPS1_Frame,42.33783,-71.09485333333333,16.4,327426.2662224168,4689411.488682508,19,T
1695953267362578707,131,20747000000000,GPS1_Frame,42.33782166666667,-71.09487,16.7,327424.87037004763,4689410.597155168,19,T
1695953268385185749,132,20748000000000,GPS1_Frame,42.337815,-71.094885,17.1,327423.6163823053,4689409.887316147,19,T
1695953269366034110,133,20749000000000,GPS1_Frame,42.337808333333335,-71.09490166666667,17.4,327422.2250887067,4689409.18086003,19,T
1695953270365137765,134,20750000000000,GPS1_Frame,42.33780333333333,-71.09491666666666,17.6,327420.975659904,4689408.656092185,19,T
1695953271385839168,135,20751000000000,GPS1_Frame,42.33779666666667,-71.09493333333333,17.8,327419.5843657768,4689407.949636579,19,T
1695953272387393340,136,20752000000000,GPS1_Frame,42.33779,-71.09495,18.3,327418.19307136,4689407.243181242,19,T
1695953273366204938,137,20753000000000,GPS1_Frame,42.337783333333334,-71.09496666666666,18.5,327416.80177665374,4689406.536726173,19,T
1695953274365134533,138,20754000000000,GPS1_Frame,42.33777666666667,-71.09498333333333,18.6,327415.4104816579,4689405.8302713735,19,T
1695953275365828738,139,20755000000000,GPS1_Frame,42.33777,-71.09500166666666,18.7,327413.881880688,4689405.127199691,19,T
1695953276366260330,140,20756000000000,GPS1_Frame,42.337763333333335,-71.09501666666667,18.7,327412.62789079774,4689404.41736258,19,T
1695953277365813009,141,20757000000000,GPS1_Frame,42.337756666666664,-71.09503333333333,18.8,327411.2365949334,4689403.710908586,19,T
1695953278365820246,142,20758000000000,GPS1_Frame,42.33775166666667,-71.09505166666666,19.0,327409.712552811,4689403.192908504,19,T
1695953279385625681,143,20759000000000,GPS1_Frame,42.33774833333333,-71.09507,19.0,327408.1930702486,4689402.859979462,19,T
1695953280385786935,144,20800000000000,GPS1_Frame,42.337743333333336,-71.09508666666666,19.0,327406.8063334292,4689402.338597043,19,T
1695953281385427949,145,20801000000000,GPS1_Frame,42.337738333333334,-71.09510333333333,19.0,327405.41959639185,4689401.817214891,19,T
1695953282365887318,146,20802000000000,GPS1_Frame,42.33773166666667,-71.09512,19.1,327404.02829922916,4689401.110762295,19,T
1695953283385463624,147,20803000000000,GPS1_Frame,42.337725,-71.09513666666666,19.1,327402.637001777,4689400.4043099675,19,T
1695953284364676118,148,20804000000000,GPS1_Frame,42.337718333333335,-71.09515333333333,18.8,327401.2457040353,4689399.697857907,19,T
1695953285385544577,149,20805000000000,GPS1_Frame,42.33771333333333,-71.09516666666667,18.5,327400.1335776333,4689399.169710596,19,T
1695953286365643324,150,20806000000000,GPS1_Frame,42.33770666666667,-71.09518166666666,18.2,327398.8795852017,4689398.459875882,19,T
1695953287366997020,151,20807000000000,GPS1_Frame,42.3377,-71.09519666666667,18.1,327397.62559250987,4689397.750041382,19,T
1695953288366212514,152,20808000000000,GPS1_Frame,42.337693333333334,-71.09521333333333,18.3,327396.2342937045,4689397.04359029,19,T
1695953289365708020,153,20809000000000,GPS1_Frame,42.33768666666667,-71.09523,18.5,327394.8429946096,4689396.337139467,19,T
1695953290385261748,154,20810000000000,GPS1_Frame,42.33768,-71.095245,18.7,327393.5890011036,4689395.62730567,19,T
1695953291365964773,155,20811000000000,GPS1_Frame,42.337673333333335,-71.09526166666667,18.7,327392.1977014444,4689394.920855355,19,T
